scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,808.9749932289124,140.78769129514694,0.3590314984321594,904.2006299495697,142.78615188598633,0.2413652539253235,919.4889197349548,475.6159354150295,0.23925061523914337,921.0607631206512,338.35692727565765,0.22078381478786469
1,808.9749932289124,145.77061438560486,0.3381771445274353,939.6510932147503,585.3568549156189,0.16345563530921936,919.4889197349548,505.69945788383484,0.3410097360610962,921.0607631206512,338.35692727565765,0.17616306245326996
2,809.3146154880524,145.77061438560486,0.3870187997817993,939.6510932147503,585.3568549156189,0.24535347521305084,919.4889197349548,505.69945788383484,0.26221904158592224,921.0607631206512,338.35692727565765,0.15688739717006683
3,808.9749932289124,140.78769129514694,0.41467925906181335,936.3020157814026,585.0202960968018,0.2989051043987274,918.8701937198639,505.69945788383484,0.30905184149742126,921.0607631206512,338.35692727565765,0.15580995380878448
4,803.8878922462463,131.60744714736938,0.2479509562253952,936.3020157814026,585.0202960968018,0.22532330453395844,918.8701937198639,459.0475245118141,0.2945059835910797,921.0607631206512,338.35692727565765,0.2267017513513565
5,793.1788938045502,114.43696546554565,0.33708614110946655,935.6300489902496,585.0202960968018,0.2787754535675049,915.9730245135725,459.0475245118141,0.2743722200393677,934.6934762001038,415.12251806259155,0.20352666079998016
6,792.2628016471863,84.52014291286469,0.34147706627845764,935.0228633880615,579.6133571267128,0.2577305734157562,913.7270932197571,452.86245435476303,0.31656304001808167,935.103147983551,420.0602738261223,0.21154054999351501
7,789.1818319559097,68.86256104707718,0.36247751116752625,929.7886598110199,563.3664166331291,0.291284441947937,915.1893782019615,452.86245435476303,0.31727635860443115,935.103147983551,420.0602738261223,0.2130102962255478
8,789.0179287195206,38.86787700653076,0.4250672161579132,929.0928773880005,563.0305638313293,0.16927212476730347,913.7270932197571,426.72342240810394,0.3942042887210846,934.6934762001038,415.12251806259155,0.2209956794977188
9,783.3451237678528,18.25895917415619,0.5178450345993042,921.6432628631592,502.35310316085815,0.22028794884681702,913.2372417449951,387.3709670305252,0.324479341506958,930.259222984314,382.94059801101685,0.25092509388923645
10,774.3080801963806,16.932063102722168,0.5099802017211914,921.6190385818481,501.8431062698364,0.27047353982925415,908.0388123579323,386.23885333538055,0.22347678244113922,921.3855481147766,381.98446559906006,0.20645515620708466
11,773.133154630661,16.750168561935425,0.4940660893917084,921.6190385818481,501.8431062698364,0.33561667799949646,907.4460660815239,385.6479148864746,0.24229833483695984,921.1971135139465,372.75898975133896,0.2021542191505432
12,771.7597939670086,9.754510879516602,0.49548402428627014,920.0278177261353,499.99585619568825,0.2808062434196472,906.132796049118,385.6479148864746,0.27001458406448364,917.3790367841721,348.4026870727539,0.2054806351661682
13,771.7597939670086,9.599744319915771,0.48620110750198364,920.0278177261353,498.29787254333496,0.33856624364852905,906.132796049118,386.23885333538055,0.23282547295093536,917.3790367841721,348.4026870727539,0.18937000632286072
14,771.7597939670086,9.313587188720703,0.4798603355884552,920.0278177261353,485.93101716041565,0.4945972263813019,903.1904788017273,418.90667378902435,0.22963827848434448,917.3790367841721,348.4026870727539,0.19118370115756989
15,783.320077419281,9.156494140625,0.43331629037857056,920.0278177261353,485.93101716041565,0.6541934013366699,903.1904788017273,420.3657437860966,0.24855387210845947,917.3790367841721,347.9341151341796,0.22070345282554626
16,783.9253525733948,9.156494140625,0.5207855105400085,923.6514949798584,485.93101716041565,0.3869953155517578,903.1904788017273,420.71149784326553,0.22531229257583618,917.4644122123718,347.9341151341796,0.24697209894657135
17,784.838406085968,9.156494140625,0.4718388319015503,928.197993516922,490.43352127075195,0.2840934991836548,903.3018937110901,420.7167099118233,0.2680085599422455,923.6124418377876,346.7228705883026,0.24887815117835999
18,789.6540788412094,9.156494140625,0.4339505434036255,934.6374547481537,492.2014241218567,0.45224884152412415,922.1881853342056,420.7167099118233,0.227142795920372,923.6124418377876,346.7228705883026,0.1911340057849884
19,798.3322596549988,9.129360675811768,0.48085257411003113,934.7403359413147,494.0977964401245,0.5400007367134094,922.1881853342056,420.7167099118233,0.22735531628131866,917.4644122123718,340.4995930194855,0.21584387123584747
20,802.4929151535034,8.989829540252686,0.48975706100463867,939.7359554767609,494.0977964401245,0.3604114055633545,924.4671108722687,486.8971104621887,0.27904871106147766,923.9981127667706,340.4995930194855,0.19062845408916473
21,867.8746045529842,8.001545906066895,0.4504407048225403,951.930150270462,496.2277262210846,0.6015862226486206,924.4671108722687,421.3059867620468,0.3202168941497803,923.9981127667706,346.7228705883026,0.2506641149520874
22,877.5831394195557,7.459240674972534,0.40812933444976807,956.5626504421234,496.2277262210846,0.4010477662086487,922.1881853342056,417.97994089126587,0.23589950799942017,949.8314387798309,420.2812478542328,0.24809730052947998
23,881.027939081192,7.459240674972534,0.47266900539398193,963.693772226572,496.2277262210846,0.4948289096355438,932.6430578827858,421.3059867620468,0.3203469514846802,949.8314387798309,420.2812478542328,0.25031307339668274
24,894.8543448448181,7.344306230545044,0.45513638854026794,967.9630093574524,492.2090554237366,0.37929704785346985,947.3040659427643,474.39435362815857,0.23559753596782684,949.8314387798309,420.2812478542328,0.22704923152923584
25,895.0966911315918,7.675251483917236,0.395911306142807,969.802845954895,480.28933000564575,0.5193837285041809,932.6430578827858,421.3059867620468,0.2777877151966095,946.710333943367,269.364622592926,0.22162701189517975
26,908.9338574409485,7.675251483917236,0.42666494846343994,969.802845954895,479.1170492172241,0.566362202167511,960.2412738800049,443.8614023923874,0.2661319673061371,926.1876845359802,6.4065101146698,0.23848843574523926
