scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1047.7364387512207,245.86796295642853,0.16138814389705658,917.5676534175873,485.9999624490738,0.3282041549682617,964.6881409883499,353.4652945995331,0.28909066319465637,1012.4830078184605,372.2827317416668,0.2124464511871338
1,1057.3650827407837,248.0039577484131,0.34217607975006104,934.7788236141205,640.666209936142,0.3110233545303345,964.6881409883499,468.636574447155,0.35552021861076355,1012.4830078184605,477.9042716026306,0.2916514277458191
2,1063.0763561725616,252.882519364357,0.5940225720405579,948.2796987891197,655.1404070854187,0.3869498074054718,988.7386377453804,468.636574447155,0.3379555642604828,1029.5671088695526,493.41896867752075,0.24628277122974396
3,1063.532525062561,252.882519364357,0.6142059564590454,948.2796987891197,655.1404070854187,0.3888043165206909,964.6881409883499,468.636574447155,0.4129696488380432,1029.5671088695526,491.26549392938614,0.2741238474845886
4,1063.5355949401855,253.58595299720764,0.52296382188797,948.2796987891197,659.4348020553589,0.3586154580116272,964.6881409883499,468.636574447155,0.42413702607154846,1029.5671088695526,491.26549392938614,0.21424847841262817
5,1073.0391223430634,258.6974620819092,0.5432559251785278,948.2796987891197,692.1578302532434,0.4185900390148163,980.4959954917431,468.6202914118767,0.2698398530483246,1042.031174659729,491.26549392938614,0.2928292155265808
6,1077.9890580177307,262.63542675971985,0.6451574563980103,950.2392475605011,692.1578302532434,0.412208616733551,993.9258644580841,445.5282551050186,0.38007426261901855,1056.9872748851776,482.5796115398407,0.3258736729621887
7,1077.9890580177307,273.2264380455017,0.5250211358070374,950.2392475605011,703.3112535476685,0.3308107256889343,995.1731820702553,445.5282551050186,0.3247688114643097,1056.9872748851776,482.5796115398407,0.2834625244140625
8,1077.9890580177307,277.7306909561157,0.5950781106948853,950.2392475605011,706.9226989746094,0.32607191801071167,1010.7843092679977,402.4132535457611,0.2339150756597519,1056.9872748851776,482.5796115398407,0.351423978805542
9,1076.5470764636993,296.44506454467773,0.5626619458198547,946.5561705827713,709.9056206941605,0.2824912667274475,1010.7843092679977,402.4132535457611,0.29276373982429504,1046.5590698719025,501.24563014507294,0.3380531370639801
10,1071.232726573944,309.3284823894501,0.6225071549415588,944.6916103363037,718.6784677505493,0.2971501648426056,1010.7843092679977,402.4132535457611,0.29209601879119873,1044.7948467731476,503.23756766319275,0.38212427496910095
11,1056.4062745571136,325.6508779525757,0.5773000717163086,934.0458238124847,721.1070876121521,0.29411229491233826,975.9136390686035,526.9733190536499,0.3115246295928955,1013.0280069112778,503.23756766319275,0.326174259185791
12,1044.0032117527444,338.62698090076447,0.6310498118400574,934.0458238124847,719.6876163482666,0.3177289068698883,967.0589051246643,547.0946422815323,0.3681657314300537,1012.9667971134186,539.2796781659126,0.3583267033100128
13,1042.2427442073822,338.62698090076447,0.5734712481498718,929.001336812973,719.6876163482666,0.22224444150924683,962.9293451309204,548.2001294344664,0.3945866525173187,998.7152872085571,541.2911981344223,0.3276854455471039
14,1033.0841715335846,340.2181698977947,0.34223049879074097,929.001336812973,719.6876163482666,0.3023073673248291,955.2905229330063,548.2816480994225,0.28630200028419495,990.4915957450867,541.2911981344223,0.24940647184848785
15,1030.2456257343292,340.2181698977947,0.33420369029045105,929.001336812973,719.6876163482666,0.28605881333351135,950.6952216625214,548.2816480994225,0.425117164850235,988.5282299518585,541.2911981344223,0.31432780623435974
16,1012.8500978350639,348.7232686281204,0.3296738564968109,951.8513441085815,719.6876163482666,0.32025909423828125,950.6952216625214,547.0946422815323,0.43651121854782104,983.0699524879456,541.2911981344223,0.3416733145713806
17,1012.8500978350639,348.7232686281204,0.359220951795578,956.1809120774269,556.8796700835228,0.39087510108947754,950.6952216625214,541.8072060346603,0.3356423079967499,975.3582935333252,529.2025763988495,0.3209777772426605
18,1002.9998917579651,348.7232686281204,0.29872748255729675,956.1809120774269,547.5521395206451,0.41976022720336914,964.6613386273384,461.2897115945816,0.3051534593105316,983.0699524879456,474.68880689144135,0.24427561461925507
19,1002.6024123430252,339.2216112613678,0.297574520111084,956.1809120774269,547.5521395206451,0.4017966091632843,964.8070323467255,458.83638739585876,0.27828800678253174,964.7877692580223,461.8550637960434,0.24690380692481995
20,994.4071847200394,339.2216112613678,0.34608641266822815,956.1809120774269,707.4914436340332,0.38984617590904236,964.8070323467255,458.83638739585876,0.24437780678272247,964.7877692580223,461.8550637960434,0.26881110668182373
21,1002.6024123430252,339.2216112613678,0.3922134041786194,949.6150225400925,532.7389911413193,0.45236101746559143,964.6613386273384,458.83638739585876,0.19319234788417816,943.8373131752014,523.874842017889,0.2036927044391632
22,994.4071847200394,341.31461811065674,0.42216017842292786,933.2957091331482,707.4914436340332,0.35835927724838257,923.0297811031342,521.9619293212891,0.19672346115112305,939.9260262474418,521.8778655529022,0.20286668837070465
23,932.2779213190079,341.7772538661957,0.3041124641895294,883.9721049871296,707.4914436340332,0.31614452600479126,877.0259581804276,696.7022135257721,0.21438026428222656,931.624462813139,523.874842017889,0.23304861783981323
24,932.2779213190079,341.7772538661957,0.2171979546546936,883.9721049871296,703.553768157959,0.30487060546875,877.0259581804276,696.7022135257721,0.21775825321674347,931.624462813139,526.0485949516296,0.1891498863697052
25,993.980455160141,341.31461811065674,0.17332172393798828,933.2957091331482,701.7955017089844,0.36055997014045715,916.0030947863124,524.2466291338205,0.2953190803527832,939.9260262474418,523.874842017889,0.17894618213176727
26,993.980455160141,326.6717586517334,0.3886706829071045,919.2987911701202,701.7955017089844,0.3848412036895752,916.0030947863124,524.2466291338205,0.26511916518211365,931.624462813139,521.8778655529022,0.25955507159233093
