scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,911.4257621765137,310.63861298561096,0.3949682116508484,1030.5795707702637,637.9150822162628,0.20985804498195648,1024.2245316505432,634.677502155304,0.234395831823349,1037.0786159038544,636.9524831771851,0.2704431116580963
1,898.6166937351227,380.28295481204987,0.45122531056404114,1012.493095934391,783.77672290802,0.40392452478408813,889.7464892864227,384.6709132194519,0.2511124908924103,907.2941249012947,381.6855398416519,0.3076043426990509
2,880.3282299041748,428.4276824593544,0.3501138985157013,988.0796766281128,808.351589679718,0.23070040345191956,964.3988411128521,740.9644919037819,0.31014490127563477,970.5883452892303,668.7112466692924,0.22073371708393097
3,948.153462305665,684.8366881012917,0.2133578658103943,951.0722069740295,692.1623539477587,0.22823122143745422,951.2244896888733,757.0011585950851,0.25618597865104675,955.6080833077431,685.8078911304474,0.1973627507686615
4,955.9467636346817,888.8100392818451,0.14305514097213745,951.8812456130981,893.4265732765198,0.21541129052639008,951.1645681858063,756.7444096207619,0.2911949157714844,876.3436438143253,526.159797668457,0.1817156821489334
5,879.6497602462769,445.36960089206696,0.3163641691207886,969.7969484329224,818.6944342851639,0.40999308228492737,949.7753067016602,755.5418591797352,0.24589070677757263,885.3178879022598,443.53596702218056,0.21932317316532135
6,869.3771862983704,446.2459797859192,0.3096887171268463,967.8361666202545,898.5343466997147,0.2803054749965668,962.4386481046677,891.4506978392601,0.2582390606403351,975.2759974002838,892.8322648406029,0.23546276986598969
7,882.1665850877762,453.7592588663101,0.3091924488544464,982.083685874939,830.9776964187622,0.4496663212776184,947.9176019057631,708.0496404618025,0.27766677737236023,988.2969081997871,892.5929125547409,0.2511034309864044
8,901.8476976156235,449.32548332214355,0.33588293194770813,1000.6826858520508,834.0107293128967,0.6123971939086914,991.1046452522278,828.1386054307222,0.31568604707717896,979.7380830645561,699.1820559501648,0.2720175087451935
9,948.4407625198364,437.15154099464417,0.38379529118537903,1026.7816408872604,822.5204880237579,0.509333074092865,995.3034248948097,739.9904803773388,0.22909533977508545,981.9261142015457,604.5181669592857,0.18828541040420532
10,962.5038398504257,426.3228417634964,0.3625341057777405,1034.1725797653198,815.5710253715515,0.5306458473205566,1021.8388614654541,811.8534967601299,0.3147006332874298,972.1381606757641,428.0124333491549,0.24825814366340637
11,968.4803204536438,390.23775362968445,0.3967944383621216,1045.9297646284103,801.4725658893585,0.6326953768730164,1029.9391683340073,797.5224008560181,0.26795291900634766,1025.3486683368683,673.0693848133087,0.23776069283485413
12,982.4677913188934,378.71188509464264,0.4387127459049225,1052.443269610405,799.1354689598083,0.4553452432155609,1041.1978645324707,795.4959698915482,0.3655931055545807,996.7391956448555,380.5887375473976,0.2511090338230133
13,995.6996774673462,378.82251048088074,0.4909365177154541,1060.2061628997326,798.6825604438782,0.6471439003944397,1044.9190629124641,795.0076767206192,0.3230516314506531,1028.2844361066818,562.402076125145,0.24953636527061462
14,1011.286673784256,356.03403394296765,0.49319741129875183,1073.1348841190338,797.3844838142395,0.4031870365142822,1062.2408492565155,792.7853155136108,0.2823532819747925,1044.3373545706272,544.7168221473694,0.28698694705963135
15,1015.7328932285309,315.5133865773678,0.4463275074958801,1079.3403389453888,766.7497367858887,0.6130415797233582,1073.3090410232544,840.1272554397583,0.29831376671791077,1029.2801539897919,317.0489271879196,0.24589140713214874
16,1027.407254934311,294.46745347976685,0.4234791696071625,1082.6331667900085,755.9021642953157,0.42372503876686096,1057.8449952602386,676.8269386291504,0.3472083806991577,1041.8224568367004,297.86930108070374,0.29369524121284485
17,1032.9311690330505,242.12887740135193,0.4706856310367584,1087.5051550865173,741.0731645822525,0.38206747174263,1059.6556935608387,652.2368223667145,0.39693742990493774,1085.6193928718567,652.8088126182556,0.21582895517349243
18,1034.7089567184448,227.2539266347885,0.4386487603187561,1087.8353962898254,734.6196608543396,0.4302457273006439,1061.6895172595978,643.8343436270952,0.4257863759994507,1089.1008956432343,643.2805863022804,0.33614981174468994
19,1047.8912563323975,229.0250927209854,0.4958341121673584,1089.2864263057709,739.0184770822525,0.4999808967113495,1062.7414889335632,595.7460463643074,0.35257914662361145,1071.8755192756653,235.57775050401688,0.26836949586868286
20,1045.1532040834427,229.99125635623932,0.5017558336257935,1092.6937127709389,739.6523131132126,0.3960445821285248,1073.481930732727,660.4018522202969,0.34772664308547974,1093.1887129545212,665.9063153266907,0.2047441601753235
21,1058.5731998682022,225.56299209594727,0.4567945897579193,1095.4493079185486,735.836688041687,0.3008331060409546,1076.8990171551704,660.0457483455539,0.35492217540740967,1074.0100905895233,449.12986755371094,0.26445382833480835
22,1076.977933704853,241.198224067688,0.3816392719745636,1096.3092880249023,736.8570868968964,0.38172030448913574,1089.7086203098297,732.0923754051328,0.30585816502571106,1102.887403011322,732.223202586174,0.2542750835418701
23,1103.8728742599487,302.5069661140442,0.28569361567497253,1096.664351940155,759.6080982685089,0.42286112904548645,1078.0132219791412,674.5184713602066,0.2866651713848114,1107.9773669522256,298.4000025987625,0.22482828795909882
24,1077.23215508461,335.52611207962036,0.1802462637424469,1097.8467268943787,786.379803776741,0.4418800175189972,1084.8582315444946,697.9345824718475,0.2842022776603699,1105.6119978427887,688.9217844009399,0.21636657416820526
25,1088.6030933856964,924.331033885479,0.3197999894618988,1103.9582867622375,791.203202009201,0.2822609543800354,1088.4070274829865,706.4885898828506,0.26324543356895447,1107.473259985447,689.4966309070587,0.21158041059970856
