scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-6.015517234802246,-6.704585075378418,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611642180010676,-10.512991905212402,-15.312032699584961,0.00013247632887214422,-3.465101718902588,-16.95442771911621,0.0002791417355183512
1,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512991905212402,-15.312032699584961,0.00013247632887214422,-3.465102195739746,-16.95442771911621,0.0002791417355183512
2,-6.0155181884765625,-6.704585075378418,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512991905212402,-15.312032699584961,0.00013247632887214422,-3.465102195739746,-16.95442771911621,0.0002791417355183512
3,-6.015517234802246,-6.704585075378418,0.0009218582417815924,637.8186856508255,-14.923112869262695,0.0006141798221506178,637.7330751419067,-10.208770751953125,0.00039379156078211963,-3.465102195739746,-16.95442771911621,0.0002791414735838771
4,-6.015517234802246,-6.704585075378418,0.0011779216583818197,637.8186856508255,-14.360748291015625,0.0013196793152019382,639.4593553543091,-9.264293670654297,0.0011875740019604564,-3.465101718902588,-16.95442771911621,0.0004985194536857307
5,-6.0155181884765625,-6.704585075378418,0.0011630445951595902,637.8186856508255,-14.360748291015625,0.0013423344353213906,640.0210590362549,-8.678187370300293,0.0009774348000064492,-3.465101718902588,-16.954425811767578,0.00041584562859497964
6,640.223614692688,-1.603470802307129,0.0009218582417815924,637.6767703294754,-13.269231796264648,0.0008308475371450186,639.4593553543091,-8.678187370300293,0.00042805643170140684,638.8335332870483,-10.246572494506836,0.0002791414735838771
7,639.6288747787476,-1.4824943542480469,0.0009218577761203051,637.5363330841064,-13.371524810791016,0.00086410460062325,639.4593553543091,-8.678187370300293,0.00044780009193345904,638.9868700504303,-10.246572494506836,0.0002791414735838771
8,639.6288747787476,-1.4824943542480469,0.0012082572793588042,637.4513169527054,-13.371524810791016,0.0018424682784825563,639.4593553543091,-8.402548789978027,0.0006507365615107119,638.9868700504303,-9.727803230285645,0.0005464262212626636
9,639.6288747787476,-0.7433977127075195,0.0018533134134486318,637.3962236642838,-13.217082977294922,0.003185309236869216,637.513129234314,-8.321953773498535,0.0009169128607027233,638.9868700504303,-9.54427719116211,0.0007809727103449404
10,639.6288747787476,-0.7433977127075195,0.0019244253635406494,635.8473438024521,-11.983463287353516,0.0030007860623300076,637.513129234314,-8.402548789978027,0.0012292619794607162,638.9868700504303,-9.251598358154297,0.0007522638770751655
11,639.6288747787476,-1.17372465133667,0.017907170578837395,635.8473438024521,-11.70315170288086,0.00948954839259386,637.4734373092651,-8.321953773498535,0.003923291340470314,639.1879119873047,-6.915060043334961,0.006697756703943014
12,639.3743987083435,-1.17372465133667,0.0018646626267582178,636.4234617352486,-11.70315170288086,0.001980504486709833,636.8153738975525,-8.402548789978027,0.0008870442979969084,639.1008038520813,-6.915060043334961,0.000784164818469435
13,639.3743987083435,-1.17372465133667,0.0011895988136529922,636.4234617352486,-11.276150703430176,0.001150735653936863,636.8153738975525,-8.288092613220215,0.00045870078611187637,639.1008038520813,-6.915060043334961,0.00042499700793996453
14,639.3743987083435,-1.352590560913086,0.0009218573686666787,636.519261598587,-11.70315170288086,0.0008042959379963577,637.496723651886,-9.021461486816406,0.0003836460819002241,639.1008038520813,-7.503068923950195,0.00032712865504436195
15,-6.015517234802246,-6.704585075378418,0.0017250780947506428,636.519261598587,-12.706218719482422,0.0015608810354024172,637.496723651886,-9.021461486816406,0.00088076654355973,639.1008038520813,-8.862191200256348,0.0006624016095884144
16,-6.015517234802246,-6.704587936401367,0.0009218577761203051,636.519261598587,-12.706218719482422,0.000530223420355469,637.496723651886,-9.021461486816406,0.0002511465863790363,525.5535488128662,-8.862191200256348,0.0002791414735838771
17,-6.01551628112793,-6.704585075378418,0.0009218582417815924,637.0844749212265,-14.162729263305664,0.0004061160434503108,638.2155647277832,-9.416804313659668,0.00017384937382303178,-3.465102195739746,-16.954425811767578,0.0002791417355183512
18,-6.01551628112793,-6.704585075378418,0.0009218582417815924,637.9083826541901,-14.162729263305664,0.0005109368939884007,638.2155647277832,-9.416804313659668,0.0003185484674759209,-3.465102195739746,-16.954425811767578,0.00041120039531961083
19,-6.01551628112793,-6.704585075378418,0.0009582864004187286,637.9083826541901,-16.271642684936523,0.0005511004128493369,635.0378967523575,-9.416804313659668,0.00027066670008935034,-3.465102195739746,-16.954425811767578,0.000279141211649403
20,-6.01551628112793,-6.704585075378418,0.0009218582417815924,637.9083826541901,-16.271642684936523,0.0004716235271189362,635.0378967523575,-9.416804313659668,0.00017771699640434235,-3.465102195739746,-16.954425811767578,0.0002791417355183512
21,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,636.6978698372841,-16.271642684936523,0.00040611642180010676,640.0287485122681,-9.44052505493164,0.00013247632887214422,-3.465104103088379,-16.954425811767578,0.0002791417355183512
22,-6.015519142150879,-6.704585075378418,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,635.0378967523575,-10.003870010375977,0.00018033759261015803,-3.465104103088379,-16.954425811767578,0.000279141211649403
23,-6.015519142150879,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00042140556615777314,634.0589557886124,-10.003870010375977,0.00029751367401331663,-3.465104103088379,-16.95442771911621,0.0002791414735838771
24,-6.015519142150879,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611583972349763,640.0287485122681,-10.003870010375977,0.00013247632887214422,-3.465104103088379,-16.954429626464844,0.0002791414735838771
